Season,MatchDatetime,Division,Country,League,HomeTeam,AwayTeam,FullTimeHomeGoals,FullTimeAwayGoals,FullTimeResult,HalfTimeHomeGoals,HalfTimeAwayGoals,HalfTimeResult,Bet365HomeOdds,Bet365DrawOdds,Bet365AwayOdds,LadbrokesHomeOdds,LadbrokesDrawOdds,LadbrokesAwayOdds,BwinHomeOdds,BwinDrawOdds,BwinAwayOdds,CornersHome,FoulsHome,RedCardsHome,ShotsHome,ShotsOnTargetHome,YellowCardsHome,Bet&WinAwayOdds,Bet&WinDrawOdds,Bet&WinHomeOdds,Betbrain1X2,GoalBetAway,GoalBetDraw,GoalBetHome,HomeCorners,HomeFouls,HomeRedCards,HomeShots,HomeShotsOnTarget,HomeYellowCards,AwayWinsImpact,DrawImpact,HomeWinsImpact,SBAwayOdds,SBDrawOdds,SBHomeOdds,SJAwayOdds,SJDrawOdds,SJHomeOdds,MatchTime,VCACornerAway,VCDraw,VCHome,WilliamHillAway,WilliamHillDraw,WilliamHillHome,home_opening_odds,draw_opening_odds,away_opening_odds,home_closing_odds,draw_closing_odds,away_closing_odds,match_date_final
2012/2013,2/9/2013 0:00,E1,England,Championship,Charlton,Birmingham,1,1,D,0,0,D,2.38,3.5,3.1,2.2,3.4,3.2,2.2,3.3,3.1,3,5,1,15,8,1,3.1,3.3,2.25,40,3.1,3.3,2.2,11,14,0,16,10,1,3,3.2,2.2,4.178781729,3.569111372,2.444005032,3.13,3.4,2.25,0:00,3.1,3.5,2.4,3.1,3.1,2.4,2.27,3.51,3.33,2.13,3.5,3.75,2/9/2013
2012/2013,2/9/2013 0:00,E1,England,Championship,Bolton,Burnley,2,1,H,0,0,D,2.25,3.6,3.3,2.25,3.4,3.1,2.2,3.3,3.1,9,11,0,5,2,2,3.2,3.3,2.25,40,3.1,3.3,2.2,8,8,0,18,8,1,3,3.2,2.2,4.178781729,3.569111372,2.444005032,3.2,3.4,2.2,0:00,3.25,3.5,2.3,3.2,3.2,2.3,2.15,3.63,3.51,2.37,3.56,3.13,2/9/2013
2012/2013,2/9/2013 0:00,E1,England,Championship,Blackpool,Millwall,2,1,H,0,1,A,2.05,3.6,3.8,2.1,3.3,3.5,2,3.3,3.6,3,11,0,11,6,3,3.6,3.3,2.05,39,3.6,3.3,2,4,9,0,15,8,0,3.3,3.3,2,4.178781729,3.569111372,2.444005032,3.75,3.4,2.05,0:00,3.9,3.6,2.05,3.4,3.4,2,2.13,3.6,3.6,2,3.68,3.98,2/9/2013
2012/2013,2/9/2013 0:00,E1,England,Championship,Blackburn,Ipswich,1,0,H,0,0,D,2,3.6,4,1.95,3.3,4,1.9,3.3,4,2,16,0,9,2,0,3.75,3.5,1.95,40,4,3.3,1.9,6,5,0,11,4,1,3.7,3.3,1.9,4.178781729,3.569111372,2.444005032,4,3.5,1.91,0:00,4.1,3.6,2,4,3.2,2,1.94,3.62,4.26,1.98,3.58,4.24,2/9/2013
2012/2013,2/9/2013 0:00,N1,Netherlands,Eredivisie,Heracles,Willem II,4,1,H,3,1,H,1.44,4,8,1.4,4.2,6,1.45,4,6.25,0,0,0,0,0,0,7.5,4.33,1.4,39,6.25,4,1.45,0,0,0,0,0,0,6.5,4,1.4,4.178781729,3.569111372,2.444005032,7,4.33,1.44,0:00,7.5,4.8,1.44,7,4.5,1.36,1.44,5.16,7.05,1.45,5.18,7.03,2/9/2013
2012/2013,2/9/2013 0:00,N1,Netherlands,Eredivisie,Heerenveen,VVV Venlo,2,2,D,0,1,A,1.5,4,7,1.44,4,5.5,1.44,3.9,6.75,0,0,0,0,0,0,6,4,1.5,39,6.75,3.9,1.44,0,0,0,0,0,0,6,3.9,1.45,4.178781729,3.569111372,2.444005032,6,4,1.53,0:00,6.5,4.2,1.55,6.5,4.33,1.4,1.48,4.68,7.04,1.58,4.53,5.86,2/9/2013
2012/2013,2/9/2013 0:00,N1,Netherlands,Eredivisie,Groningen,Waalwijk,2,1,H,1,1,D,2.05,3.4,3.5,2,3.2,3.2,2,3.25,3.4,0,0,0,0,0,0,3.5,3.4,2,38,3.4,3.25,2,0,0,0,0,0,0,3.5,3.2,1.95,4.178781729,3.569111372,2.444005032,3.4,3.4,2.05,0:00,3.8,3.5,2.05,3.3,3.4,2,2.13,3.5,3.65,2.14,3.49,3.68,2/9/2013
2012/2013,2/9/2013 0:00,N1,Netherlands,Eredivisie,Den Haag,NAC Breda,2,1,H,0,0,D,2,3.4,3.8,2,3.2,3.2,2,3.25,3.4,0,0,0,0,0,0,3.5,3.4,2,39,3.4,3.25,2,0,0,0,0,0,0,3.3,3.2,2,4.178781729,3.569111372,2.444005032,3.6,3.4,2,0:00,3.7,3.6,2.05,3.5,3.5,1.91,2.08,3.66,3.63,2.32,3.57,3.18,2/9/2013
2012/2013,2/9/2013 0:00,SC0,Scotland,Premier League,Kilmarnock,Motherwell,2,0,H,1,0,H,3.1,3.5,2.2,3,3.4,2.3,2.9,3.2,2.25,9,14,2,13,7,2,2.3,3.4,3,37,2.25,3.2,2.9,1,8,0,9,4,1,2.2,3.1,3,4.178781729,3.569111372,2.444005032,2.25,3.4,3,0:00,2.3,3.4,3.12,2.38,3.1,3.1,3.29,3.56,2.25,3.75,3.65,2.06,2/9/2013
2012/2013,2/9/2013 0:00,SC0,Scotland,Premier League,Inverness C,Celtic,1,3,A,1,1,D,5.5,3.75,1.62,6,4,1.53,5.5,3.75,1.53,8,16,0,12,7,0,1.57,4,5.75,38,1.53,3.75,5.5,5,7,0,7,4,0,1.6,3.6,4.8,4.178781729,3.569111372,2.444005032,1.53,4,5.5,0:00,1.65,3.9,6.25,1.53,4.2,5,6.04,4.44,1.56,5.42,3.82,1.72,2/9/2013
